advisory_id,ecosystem,package_id,release_id,commit_count,file_count,loc_change,contributor_count,ifcve,severity,fix_to_release_delay
SNYK-RUBY-ACTIONVIEW-632514,RubyGems,484,8196,2,13,42,2,cve,M,0.0
SNYK-PHP-TYPO3CMS-538238,Composer,272,7366,9,69,1232,3,noncve,M,0.0
SNYK-JS-I18NEXT-575536,npm,52,359,4,4,56,2,noncve,M,0.0
SNYK-RUBY-JSONJWT-22038,RubyGems,2256,5570,5,5,101,2,cve,M,0.0
SNYK-JS-VISTIMELINE-1063500,npm,3898,823,8,10,44,3,cve,M,0.0
SNYK-PYTHON-DJANGO-40383,pip,510,1091,68,50,664,36,cve,L,0.0
SNYK-JS-MINIMATCH-1019388,npm,2995,492,8,2,46,4,noncve,H,0.0
SNYK-PYTHON-ANSIBLEVAULT-40672,pip,2693,986,2,3,20,1,cve,H,0.0
SNYK-PHP-PRESTASHOPPSLINKLIST-565924,Composer,1159,7631,10,2,110,5,cve,H,0.0
SNYK-PHP-SYMFONYSYMFONY-70376,Composer,1391,7727,11,22,751,5,cve,M,0.0
SNYK-PYTHON-JETFORCE-570766,pip,824,1201,2,2,6,1,noncve,H,0.0
SNYK-PYTHON-SANIC-40704,pip,2591,1438,9,15,232,4,cve,H,0.0
SNYK-GOLANG-K8SIOKUBERNETESSTAGINGSRCK8SIOAPIMACHINERYPKGUTILPROXY-1081511,Go,2091,8822,55,118,5033,31,cve,H,0.0
SNYK-RUBY-RAILS-1071903,RubyGems,70,8175,2,13,34,2,cve,H,0.0
SNYK-JS-SERIALIZETOJS-536958,npm,1351,700,2,2,12,1,cve,H,0.0
SNYK-PYTHON-DJANGO-42178,pip,510,1110,4,7,57,3,cve,M,0.0
SNYK-PHP-TYPO3FLUIDFLUID-1016907,Composer,262,7298,1,4,10,1,cve,M,-0.0
SNYK-PYTHON-PILLOW-1055461,pip,160,1316,192,84,2182,14,cve,H,0.0
SNYK-JS-CONNECTPGSIMPLE-460154,npm,1624,130,14,3,45,3,cve,M,0.0
SNYK-PHP-DRUPALCORE-572904,Composer,271,7341,4,11,91,1,cve,H,-0.0
SNYK-PYTHON-DJANGO-1076802,pip,510,1067,16,9,149,8,cve,M,0.0
SNYK-PHP-SIMPLESAMLPHPSAML2-72102,Composer,2420,7963,3,2,25,1,cve,H,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORKSECURITYOAUTH-72464,Maven,2003,4876,3,2,284,1,cve,H,0.0
SNYK-JS-LESSOPENUI5-1066165,npm,3914,441,16,9,310,3,cve,H,0.0
SNYK-JS-SYSTEMINFORMATION-1043753,npm,285,756,3,4,157,1,cve,H,0.0
SNYK-PHP-SILVERSTRIPEFRAMEWORK-469236,Composer,602,7540,23,18,418,11,cve,M,0.0
SNYK-PYTHON-DYNAMODBENCRYPTIONSDK-1070809,pip,3926,1157,11,48,1642,7,noncve,M,0.0
SNYK-JS-OIDCPROVIDER-451544,npm,1752,572,8,13,262,1,noncve,M,0.0
SNYK-PHP-USMANHALALITPIXIE-534879,Composer,1521,7791,7,3,14,3,cve,H,0.0
SNYK-JS-XMLCRYPTO-1023301,npm,373,847,1,2,18,1,noncve,H,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORK-31328,Maven,2917,5171,80,164,4625,9,cve,M,0.0
npm:pym.js:20180215,npm,3493,620,1,7,42,1,cve,H,0.0
